Authorised on;Processed on;Amount;Currency;Description;Payment type;Status;Assunto;Amount in foreign currency;Currency;Exchange rate
23.06.23;26.06.23;-18,78;EUR;VTURB;e-commerce;Processed;Vturb;-97;BRL;5.166.046
21.06.23;21.06.23;-8,98;EUR;DECATHLON Deutschland;contactless;Processed;compras roupa;;;
21.06.23;21.06.23;-0,43;EUR;1,95% für Währungsumrechn;foreign-trx-fee;Processed;0;;;
20.06.23;21.06.23;-21,85;EUR;CHATGPT SUBSCRIPTION;e-commerce;Processed;ChatGPT;-23,8;USD;1.089.129
20.06.23;21.06.23;-24,83;EUR;ASIA MARKT OLCHING;contactless;Processed;mercado;;;
20.06.23;21.06.23;-13,65;EUR;MUELLER MH HANDELS GMB;contactless;Processed;DM;;;
20.06.23;21.06.23;-35,99;EUR;AMAZON.DE*SG8J581C5 WW;e-commerce;Processed;amazon;;;
19.06.23;20.06.23;-9;EUR;BACKSTUBE WUENSCHE;contactless;Processed;Padaria;;;
19.06.23;10.06.23;5,15;EUR;AMZ*Amazon.de;deposit;Processed;amazon;;;
18.06.23;19.06.23;-31,55;EUR;MCDONALDS 01291;contactless;Processed;restaurante;;;
18.06.23;19.06.23;-9,57;EUR;MCDONALDS 00644;contactless;Processed;restaurante;;;
18.06.23;19.06.23;-3;EUR;Ihle Cafe Geiselbullac;contactless;Processed;Padaria;;;
16.06.23;19.06.23;-2,99;EUR;APPLE.COM/BILL;e-commerce;Processed;Apple iCloud;;;
16.06.23;19.06.23;-84,92;EUR;Lidl Dienstleistung;contactless;Processed;mercado;;;
16.06.23;19.06.23;-83;EUR;The Body Shop Germany;contactless;Processed;compras roupa;;;
16.06.23;16.06.23;-552;EUR;WWW.NOVOTEL.ACCOR.COM;retail-store;Processed;Bosch - hotel;;;
15.06.23;16.06.23;-73,99;EUR;Esso Station Olching 1;contactless;Processed;gasolina;;;
15.06.23;16.06.23;-8,99;EUR;BURGER KING 14377 SOT;contactless;Processed;restaurante;;;
